%% ---------- Weather input time-series for AquaCropOS ---------- %%
%% Day Month Year MinTemp MaxTemp Precipitation ReferenceET %%
6	9	2021	11.67	21.22	8.80	2.18
7	9	2021	10.00	20.00	0.00	2.50
8	9	2021	10.00	20.00	0.00	2.50
9	9	2021	10.00	20.00	0.00	2.50
10	9	2021	10.00	20.00	0.00	2.50
11	9	2021	10.00	20.00	0.00	2.50
12	9	2021	10.00	20.00	0.00	2.50
13	9	2021	10.00	20.00	0.00	2.50
14	9	2021	10.00	20.00	0.00	2.50
15	9	2021	10.00	20.00	0.00	2.50
16	9	2021	10.00	20.00	0.00	2.50
17	9	2021	10.00	20.00	0.00	2.50
18	9	2021	10.00	20.00	0.00	2.50
19	9	2021	10.00	20.00	0.00	2.50
20	9	2021	10.00	20.00	0.00	2.50
21	9	2021	10.00	20.00	0.00	2.50
22	9	2021	10.00	20.00	0.00	2.50
23	9	2021	10.00	20.00	0.00	2.50
24	9	2021	10.00	20.00	0.00	2.50
25	9	2021	10.00	20.00	0.00	2.50
26	9	2021	10.00	20.00	0.00	2.50
27	9	2021	10.00	20.00	0.00	2.50
28	9	2021	10.00	20.00	0.00	2.50
29	9	2021	10.00	20.00	0.00	2.50
30	9	2021	10.00	20.00	0.00	2.50
1	10	2021	10.00	20.00	0.00	2.50
2	10	2021	10.00	20.00	0.00	2.50
3	10	2021	10.00	20.00	0.00	2.50
4	10	2021	10.00	20.00	0.00	2.50
5	10	2021	10.00	20.00	0.00	2.50
6	10	2021	10.00	20.00	0.00	2.50
7	10	2021	10.00	20.00	0.00	2.50
8	10	2021	10.00	20.00	0.00	2.50
9	10	2021	10.00	20.00	0.00	2.50
10	10	2021	10.00	20.00	0.00	2.50
11	10	2021	10.00	20.00	0.00	2.50
12	10	2021	10.00	20.00	0.00	2.50
13	10	2021	10.00	20.00	0.00	2.50
14	10	2021	10.00	20.00	0.00	2.50
15	10	2021	10.00	20.00	0.00	2.50
16	10	2021	10.00	20.00	0.00	2.50
17	10	2021	10.00	20.00	0.00	2.50
18	10	2021	10.00	20.00	0.00	2.50
19	10	2021	10.00	20.00	0.00	2.50
20	10	2021	10.00	20.00	0.00	2.50
21	10	2021	10.00	20.00	0.00	2.50
22	10	2021	10.00	20.00	0.00	2.50
23	10	2021	10.00	20.00	0.00	2.50
24	10	2021	10.00	20.00	0.00	2.50
25	10	2021	10.00	20.00	0.00	2.50
26	10	2021	10.00	20.00	0.00	2.50
27	10	2021	10.00	20.00	0.00	2.50
28	10	2021	10.00	20.00	0.00	2.50
29	10	2021	10.00	20.00	0.00	2.50
30	10	2021	10.00	20.00	0.00	2.50
31	10	2021	10.00	20.00	0.00	2.50
1	11	2021	10.00	20.00	0.00	2.50
2	11	2021	10.00	20.00	0.00	2.50
3	11	2021	10.00	20.00	0.00	2.50
4	11	2021	10.00	20.00	0.00	2.50
5	11	2021	10.00	20.00	0.00	2.50
